,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,efectivo,tarjetas_debito,indice_tiempo,canales_on_line,ventas_totales_medio_pago
0,27858.9,27477.3,27858872.08,27591730.13,10230100.13,6864575.384,,267141.956,27858872.08
1,25994.2,25223.4,25994200.17,25749179.4,9719067.341,6438494.011,,245020.769,25994200.17
2,27780.0,26334.3,27780006.52,27472228.72,10244442.51,6908522.962,,307777.804,27780006.52
3,29134.3,27045.9,29134272.22,28827479.49,10312632.37,7454251.8,,306792.733,29134272.22
4,27969.0,25631.9,27969004.68,27569311.41,10147613.34,6735747.319,,399693.262,27969004.68
5,29132.7,26365.4,29132712.74,28763865.42,10565493.5,7337456.597,,368847.326,29132712.74
6,31182.3,27819.4,31182302.46,30815311.77,10905912.74,8183012.318,,366990.683,31182302.46
7,31154.9,27394.1,31154880.94,30763355.89,11041625.27,7899351.017,,391525.052,31154880.94
8,30521.5,26404.3,30521506.2,30135595.7,10789170.33,7888243.177,,385910.498,30521506.2
9,32446.0,27766.7,32445983.01,31980223.91,11220307.43,8695476.803,,465759.1013,32445983.01
10,33629.0,28425.3,33628982.66,33122387.95,11657995.8,8324348.807,,506594.7055,33628982.66
11,40766.3,34084.5,40766322.1,40320285.28,13710305.37,11070098.74,,446036.8247,40766322.1
12,32479.2,26736.7,3208.00557,32103107.86,11705433.57,8391851.736,,376100.1496,32479208.01
13,31736.8,25650.7,31736824.55,,10720300.95,8607859.28,,379379.7186,31736824.55
14,36531.3,28846.7,36531291.33,,12955730.46,9144000.037,,475878.274,36531291.33
15,34113.7,26429.5,34113745.67,,11685359.59,8980714.558,,491474.6886,34113745.67
16,35133.1,26430.5,35133146.39,,11925300.09,8668139.054,,725754.7977,35133146.39
17,38338.2,27465.9,38338209.75,,13517215.49,9513855.561,,593413.6363,38338209.75
18,39278.4,27033.4,39278449.96,,14061294.34,10619025.06,,581799.0562,39278449.96
19,39491.9,26267.3,39491907.27,38852702.48,13783068.02,10164619.78,,639204.7898,39491907.27
20,39925.5,24310.8,39925549.0,39313002.17,14307986.24,10187454.22,,612546.8226,39925549.0
21,43420.3,25010.5,43420253.82,42646486.71,15413337.43,10495359.76,,773767.1168,43420253.82
22,44849.4,24891.7,44849446.01,44076960.79,15412653.11,11132996.57,,772485.2141,44849446.01
23,57204.0,31136.1,57203955.86,56452356.42,19372979.31,16252211.76,,751599.4412,57203955.86
24,45433.6,23888.7,45433623.71,44740575.24,16005633.83,11687681.67,,693048.4704,45433623.71
25,44592.1,22542.0,44592144.9,43914187.06,15466783.51,12330583.27,,677957.8398,44592144.9
26,51065.7,24647.7,51065694.25,50347782.68,17737278.5,13685678.1,,717911.5715,51065694.25
27,49621.4,23073.8,49621409.28,48939565.17,17102015.74,13152280.51,,681844.104,49621409.28
28,50778.3,22852.1,50778299.91,49813853.04,17247751.27,13838777.26,,964446.8743,50778299.91
29,54413.4,23803.4,54413419.61,53591716.25,17995550.11,15507030.32,,821703.3617,54413419.61
30,55044.5,23580.1,55044482.26,54121341.62,18548992.46,15609905.91,,923140.633,55044482.26
31,59672.1,24329.9,59672104.46,58647926.48,19745340.25,16044555.34,,1024177.978,59672104.46
32,57885.3,22144.7,57885306.41,56887830.18,19561438.28,15872044.55,,997476.2268,57885306.41
33,66325.6,24652.7,66325579.59,65144928.12,21884744.73,17749686.58,,1180651.478,66325579.59
34,67943.7,24270.7,67943710.19,66454203.74,22763201.55,16506702.37,,1489506.445,67943710.19
35,83524.6,29147.9,83524644.29,82246180.68,27960470.5,21105019.72,,1278463.614,83524644.29
36,70145.0,23483.3,70145010.27,69104127.61,25121140.42,16421681.81,,1040882.661,70145010.27
37,72494.4,23702.0,72494433.66,71514175.15,23982883.64,18677850.86,,980258.5147,72494433.66
38,85778.0,26996.7,85778031.09,84174875.51,26532575.53,22420795.89,,1603155.575,85778031.09
39,75009.6,23142.7,75009596.64,71798954.71,22263621.15,20850415.69,,3210641.929,75009596.64
40,78594.5,24012.7,78594521.82,74966605.03,24917663.39,19703362.4,,3627916.795,78594521.82
41,78232.9,23449.5,78232859.6,74554853.96,24031410.14,20569940.21,,3678005.643,78232859.6
42,211140.7,50791.4,81140696.22,76413721.76,24935747.29,22143208.63,,4726974.457,81140696.22
43,80412.0,22953.0,80411973.29,76406528.27,24868416.65,21188270.69,,4005445.016,80411973.29
44,77055.8,21628.0,77055774.36,73111415.16,24268469.26,20660854.98,,3944359.195,77055774.36
45,89224.3,24105.8,89224281.05,84622602.75,27348110.5,23565536.12,,4601678.305,89224281.05
46,200.5,24010.7,91093507.31,86255330.61,28832513.45,23551887.33,,4838176.706,91093507.31
47,115806.1,29931.1,115806128.1,111830218.6,36284788.05,31300615.02,,3975909.551,115806128.1
48,98007.6,24420.0,98007583.25,94524545.27,31878415.61,26481717.36,,3483037.987,98007583.25
49,92954.2,22322.6,92954233.68,89908053.02,30090418.94,26089199.97,,3046180.666,92954233.68
50,107225.9,24627.6,107225884.5,103243215.3,33646699.76,28304088.35,,3982669.194,107225884.5
51,106870.2,23407.5,106870185.9,102742178.6,33030717.34,28509160.1,,4128007.244,106870185.9
52,110604.7,23368.4,110604694.6,104997658.2,33391018.41,29448299.39,,5607036.33,110604694.6
53,116287.9,23678.0,116287893.0,111477594.5,34735136.74,32637663.36,,4810298.41,116287893.0
54,125658.6,24779.5,125658552.5,120904098.3,37973547.56,37146178.9,,4754454.215,125658552.5
55,124840.3,23990.1,124840320.0,120181530.9,38180625.56,,,4658789.02,124840320.0
56,123002.3,22962.0,123002252.4,118585472.2,38080750.86,34575381.28,,4416780.259,123002252.4
57,140487.5,25386.7,140487487.3,136000643.3,43323345.69,39697514.99,,4486843.92,140487487.3
58,141702.0,25026.6,141701960.7,135950778.8,43762928.15,39925207.45,,5751181.809,141701960.7
59,183983.2,31595.7,183983151.9,178866721.2,56640033.15,55432191.37,,5116430.634,183983151.9
60,154517.1,45463.4,154517094.2,149697614.6,46962602.22,46053650.13,,4819479.554,154517094.2
